#chrom	tes_1based	strand	intron_chain_tx_order	n_introns	read_support	frac_global	polya_support_frac	median_mapq	median_tail_len	median_tail_purity	n_unique_chains	n_full_length_reads	included_trunc	sample_counts	chain_counts	kept
chr2	69938262	+	69915404-69916120;69916229-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	18.0	1.000	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916229-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69938262	+	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	6	0.0089	1.0000	60.0	163.5	0.700	1	6	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096:6	0
chr2	69938411	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	0.0000	60.0	190.0	0.400	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69938470	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	2	0.0030	0.5000	60.0	270.5	0.535	1	2	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:2	0
chr2	69938470	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937018;69937395-69938096	5	1	0.0015	0.0000	60.0	98.0	0.418	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937018;69937395-69938096:1	0
chr2	69938502	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	16	0.0237	0.6250	60.0	45.0	0.518	3	14	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:4|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:8|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:14|69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1|69937395-69938096:1	0
chr2	69938502	+	69915404-69916123;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	15.0	0.867	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916123;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69938502	+	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	2	0.0030	1.0000	60.0	73.0	0.775	2	1	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096:1|69916221-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69938627	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	0.0000	60.0	244.0	0.426	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69938627	+	69915406-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	26.0	0.923	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915406-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69938741	+	69915293-69915329;69915404-69916120;69916221-69921735;69921766-69935350;69935429-69938138	5	1	0.0015	0.0000	60.0	1003.0	0.276	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915293-69915329;69915404-69916120;69916221-69921735;69921766-69935350;69935429-69938138:1	0
chr2	69939190	+	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	1	0.0015	1.0000	60.0	82.0	0.707	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69939558	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	38	0.0564	1.0000	60.0	55.5	0.709	4	32	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:9|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:17|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:11	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:32|69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:3|69935466-69937234;69937395-69938096:1|69937395-69938096:2	1
chr2	69939558	+	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	13	0.0193	1.0000	60.0	81.0	0.684	1	13	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:4|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:6|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:3	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096:13	0
chr2	69939558	+	69915404-69916120;69916221-69939236	2	1	0.0015	1.0000	60.0	27.0	0.741	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69939236:1	0
chr2	69939790	+	69915424-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	66.0	0.742	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915424-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940023	+	69937395-69938096	1	1	0.0015	1.0000	60.0	29.0	0.690	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69937395-69938096:1	0
chr2	69940455	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	151.0	0.656	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940572	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	76.0	0.711	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940572	+	69940056-69940145	1	1	0.0015	1.0000	60.0	399.0	0.714	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69940056-69940145:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69938340-69940243	6	2	0.0030	1.0000	60.0	29.0	0.639	1	2	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69938340-69940243:2	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69939740-69939825	6	1	0.0015	1.0000	60.0	109.0	0.716	1	1	0	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69939740-69939825:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69939941-69940128	6	1	0.0015	1.0000	60.0	42.0	0.619	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69939941-69940128:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69938661-69938985	6	1	0.0015	1.0000	60.0	34.0	0.588	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69938661-69938985:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69939154-69939825	6	1	0.0015	0.0000	60.0	22.0	0.364	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096;69939154-69939825:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	271	0.4021	0.8081	60.0	46.0	0.648	5	248	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_MXD1_chr2_69915109_69942945:28|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:18|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:32|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:66|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:58|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:69	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:248|69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:3|69921766-69935350;69935466-69937234;69937395-69938096:3|69935466-69937234;69937395-69938096:7|69937395-69938096:10	1
chr2	69940641	+	69915404-69916123;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	6	0.0089	0.8333	60.0	49.0	0.582	1	6	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:3	69915404-69916123;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:6	0
chr2	69940641	+	69915424-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	4	0.0059	1.0000	60.0	47.0	0.723	1	4	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915424-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:4	0
chr2	69940641	+	69915406-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	4	0.0059	1.0000	60.0	47.0	0.622	1	4	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915406-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:4	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937018;69937395-69938096	5	4	0.0059	1.0000	60.0	65.0	0.639	2	3	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937018;69937395-69938096:3|69935466-69937018;69937395-69938096:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935470-69937234;69937395-69938096	5	3	0.0045	0.6667	60.0	46.0	0.621	1	3	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935470-69937234;69937395-69938096:3	0
chr2	69940641	+	69915404-69916120;69916229-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	3	0.0045	1.0000	60.0	32.0	1.000	1	3	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916229-69921735;69921766-69935350;69935466-69937234;69937395-69938096:3	0
chr2	69940641	+	69915404-69916041;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	37.0	0.622	1	1	0	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916041;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940641	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938099	5	1	0.0015	1.0000	60.0	15.0	1.000	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938099:1	0
chr2	69940641	+	69915404-69916120;69916221-69935350;69935470-69937234;69937395-69938096;69939905-69940449	5	1	0.0015	1.0000	60.0	44.0	0.750	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69935350;69935470-69937234;69937395-69938096;69939905-69940449:1	0
chr2	69940641	+	69915404-69916031;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	1	0.0015	1.0000	60.0	90.0	0.678	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916031;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940641	+	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	62	0.0920	0.9194	60.0	69.5	0.656	2	59	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:17|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:29|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:16	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938096:59|69916221-69935350;69935466-69937234;69937395-69938096:3	1
chr2	69940641	+	69915406-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	4	0.0059	1.0000	60.0	96.0	0.670	1	4	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:2	69915406-69916120;69916221-69935350;69935466-69937234;69937395-69938096:4	0
chr2	69940641	+	69915404-69916123;69916221-69935350;69935466-69937234;69937395-69938096	4	2	0.0030	1.0000	60.0	120.0	0.691	1	2	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916123;69916221-69935350;69935466-69937234;69937395-69938096:2	0
chr2	69940641	+	69915404-69916120;69916229-69935350;69935466-69937234;69937395-69938096	4	2	0.0030	1.0000	60.0	66.5	0.714	1	2	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:2	69915404-69916120;69916229-69935350;69935466-69937234;69937395-69938096:2	0
chr2	69940641	+	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938099	4	1	0.0015	0.0000	60.0	80.0	0.487	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69935350;69935466-69937234;69937395-69938099:1	0
chr2	69940641	+	69915404-69916120;69916214-69935350;69935466-69937234;69937395-69938096	4	1	0.0015	1.0000	60.0	35.0	0.686	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916214-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940641	+	69915404-69916120;69916221-69935350;69935470-69937234;69937395-69938096	4	1	0.0015	1.0000	60.0	60.0	0.733	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69935350;69935470-69937234;69937395-69938096:1	0
chr2	69940641	+	69915338-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	1	0.0015	1.0000	60.0	92.0	0.609	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69915338-69916120;69916221-69935350;69935466-69937234;69937395-69938096:1	0
chr2	69940641	+	69916221-69935350;69935466-69937234;69937395-69938096;69939129-69940512	4	1	0.0015	1.0000	60.0	62.0	0.661	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:1	69916221-69935350;69935466-69937234;69937395-69938096;69939129-69940512:1	0
chr2	69940641	+	69915376-69916120;69916221-69935350;69935466-69937234;69937395-69938096	4	1	0.0015	1.0000	60.0	54.0	0.741	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915376-69916120;69916221-69935350;69935466-69937234;69937395-69938096:1	0
