gene_name	mod_code	chrom	start0	end0	strand	n_tx_tested	test_name	stat_name	stat_value	p_value	effect_max_abs_frac_diff	per_transcript_json	p_adj_bh
RIOK3	19227	chr18	23481443	23481444	+	6	chi2_6x2_pc0.5	chi2	318.4831723383652	1.0611843090300811e-66	0.076223	"[{""ZN"":1,""Ncov"":5859,""Nmod"":65,""frac"":0.011094043352107869},{""ZN"":2,""Ncov"":2965,""Nmod"":226,""frac"":0.07622259696458684},{""ZN"":3,""Ncov"":1746,""Nmod"":50,""frac"":0.0286368843069874},{""ZN"":4,""Ncov"":1041,""Nmod"":75,""frac"":0.07204610951008646},{""ZN"":5,""Ncov"":533,""Nmod"":7,""frac"":0.013133208255159476},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	1.433827556916855e-63
MXD1	17596	chr2	69916200	69916201	+	3	chi2_3x2_pc0.5	chi2	301.4736444273584	3.434234074405315e-66	0.169533	"[{""ZN"":1,""Ncov"":1966,""Nmod"":26,""frac"":0.013224821973550356},{""ZN"":2,""Ncov"":698,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":407,""Nmod"":69,""frac"":0.16953316953316952}]"	4.4081828579066615e-63
MXD1	a	chr2	69939072	69939073	+	3	chi2_3x2_pc0.5	chi2	297.8467460470354	2.1057211996055848e-65	0.191149	"[{""ZN"":1,""Ncov"":2129,""Nmod"":57,""frac"":0.02677313292625646},{""ZN"":2,""Ncov"":803,""Nmod"":22,""frac"":0.0273972602739726},{""ZN"":3,""Ncov"":491,""Nmod"":107,""frac"":0.21792260692464357}]"	2.5741940302987894e-62
MXD1	a	chr2	69938700	69938701	+	3	chi2_3x2_pc0.5	chi2	289.6843171211061	1.2469521552411622e-63	0.487821	"[{""ZN"":1,""Ncov"":2089,""Nmod"":837,""frac"":0.4006701771182384},{""ZN"":2,""Ncov"":783,""Nmod"":184,""frac"":0.23499361430395913},{""ZN"":3,""Ncov"":469,""Nmod"":339,""frac"":0.7228144989339019}]"	1.4550798058795963e-60
MXD1	a	chr2	69939779	69939780	+	3	chi2_3x2_pc0.5	chi2	287.73839965887015	3.299137363135855e-63	0.455272	"[{""ZN"":1,""Ncov"":2122,""Nmod"":729,""frac"":0.34354382657869936},{""ZN"":2,""Ncov"":797,""Nmod"":198,""frac"":0.24843161856963614},{""ZN"":3,""Ncov"":486,""Nmod"":342,""frac"":0.7037037037037037}]"	3.6824110602792896e-60
MXD1	a	chr2	69939760	69939761	+	3	chi2_3x2_pc0.5	chi2	277.66166402993974	5.087866857070913e-61	0.458295	"[{""ZN"":1,""Ncov"":2076,""Nmod"":1402,""frac"":0.6753371868978806},{""ZN"":2,""Ncov"":781,""Nmod"":357,""frac"":0.45710627400768244},{""ZN"":3,""Ncov"":461,""Nmod"":422,""frac"":0.9154013015184381}]"	5.4423215814468526e-58
ALCAM	19227	chr3	105367008	105367009	+	4	chi2_4x2_pc0.5	chi2	272.83450895666647	7.5198985620188705e-59	0.11976	"[{""ZN"":1,""Ncov"":2935,""Nmod"":7,""frac"":0.002385008517887564},{""ZN"":2,""Ncov"":627,""Nmod"":6,""frac"":0.009569377990430622},{""ZN"":3,""Ncov"":398,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":167,""Nmod"":20,""frac"":0.11976047904191617}]"	7.722033435365938e-56
ALCAM	19229	chr3	105533689	105533690	+	3	chi2_3x2_pc0.5	chi2	266.64090510347063	1.2579492830428413e-58	0.106728	"[{""ZN"":1,""Ncov"":3891,""Nmod"":7,""frac"":0.001799023387304035},{""ZN"":2,""Ncov"":763,""Nmod"":21,""frac"":0.027522935779816515},{""ZN"":4,""Ncov"":258,""Nmod"":28,""frac"":0.10852713178294573}]"	1.2420797690106086e-55
RIOK3	19227	chr18	23462974	23462975	+	6	chi2_6x2_pc0.5	chi2	272.02703871044923	1.0270620143935606e-56	0.075812	"[{""ZN"":1,""Ncov"":3931,""Nmod"":19,""frac"":0.004833375731366065},{""ZN"":2,""Ncov"":1758,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1468,""Nmod"":6,""frac"":0.004087193460490463},{""ZN"":4,""Ncov"":856,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":454,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":277,""Nmod"":21,""frac"":0.07581227436823104}]"	9.76545779018944e-54
MXD1	a	chr2	69938378	69938379	+	3	chi2_3x2_pc0.5	chi2	254.8228347195146	4.633663685285006e-56	0.397599	"[{""ZN"":1,""Ncov"":2112,""Nmod"":521,""frac"":0.24668560606060605},{""ZN"":2,""Ncov"":790,""Nmod"":76,""frac"":0.09620253164556962},{""ZN"":3,""Ncov"":484,""Nmod"":239,""frac"":0.493801652892562}]"	4.248407647451311e-53
MXD1	a	chr2	69938415	69938416	+	3	chi2_3x2_pc0.5	chi2	241.76592686298503	3.1709984196871736e-53	0.473602	"[{""ZN"":1,""Ncov"":1933,""Nmod"":975,""frac"":0.5043973098810139},{""ZN"":2,""Ncov"":716,""Nmod"":238,""frac"":0.3324022346368715},{""ZN"":3,""Ncov"":433,""Nmod"":349,""frac"":0.8060046189376443}]"	2.807099014834797e-50
RIOK3	a	chr18	23473470	23473471	+	6	chi2_6x2_pc0.5	chi2	255.34003240536964	3.928313180036452e-53	0.07393	"[{""ZN"":1,""Ncov"":4768,""Nmod"":15,""frac"":0.003145973154362416},{""ZN"":2,""Ncov"":2217,""Nmod"":15,""frac"":0.006765899864682003},{""ZN"":3,""Ncov"":1717,""Nmod"":67,""frac"":0.039021549213744906},{""ZN"":4,""Ncov"":1069,""Nmod"":19,""frac"":0.01777362020579981},{""ZN"":5,""Ncov"":514,""Nmod"":38,""frac"":0.07392996108949416},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	3.3615885319298597e-50
RIOK3	19229	chr18	23463059	23463060	+	6	chi2_6x2_pc0.5	chi2	254.9367525809085	4.794635043786033e-53	0.044025	"[{""ZN"":1,""Ncov"":4043,""Nmod"":7,""frac"":0.0017313875834776156},{""ZN"":2,""Ncov"":1765,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1536,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":880,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":477,""Nmod"":21,""frac"":0.0440251572327044},{""ZN"":6,""Ncov"":288,""Nmod"":0,""frac"":0.0}]"	3.9705764788411303e-50
MXD1	a	chr2	69938505	69938506	+	3	chi2_3x2_pc0.5	chi2	234.92846289388416	9.681272882293199e-52	0.372902	"[{""ZN"":1,""Ncov"":2143,""Nmod"":1634,""frac"":0.7624825011665889},{""ZN"":2,""Ncov"":804,""Nmod"":452,""frac"":0.5621890547263682},{""ZN"":3,""Ncov"":493,""Nmod"":461,""frac"":0.9350912778904665}]"	7.76680116981972e-49
ALCAM	m	chr3	105574593	105574594	+	3	chi2_3x2_pc0.5	chi2	232.51667204678043	3.233301396127532e-51	0.051724	"[{""ZN"":1,""Ncov"":5384,""Nmod"":6,""frac"":0.001114413075780089},{""ZN"":2,""Ncov"":896,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":348,""Nmod"":18,""frac"":0.05172413793103448}]"	2.5153125285268486e-48
ALCAM	19229	chr3	105575669	105575670	+	3	chi2_3x2_pc0.5	chi2	228.8254650673966	2.0473005407484905e-50	0.036745	"[{""ZN"":1,""Ncov"":5591,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":887,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":381,""Nmod"":14,""frac"":0.03674540682414698}]"	1.5458323377086838e-47
ALCAM	a	chr3	105574527	105574528	+	3	chi2_3x2_pc0.5	chi2	224.4403775979801	1.833965858360878e-49	0.272387	"[{""ZN"":1,""Ncov"":5531,""Nmod"":574,""frac"":0.10377870186223107},{""ZN"":2,""Ncov"":894,""Nmod"":63,""frac"":0.07046979865771812},{""ZN"":4,""Ncov"":385,""Nmod"":132,""frac"":0.34285714285714286}]"	1.3451877575954418e-46
MXD1	a	chr2	69938686	69938687	+	3	chi2_3x2_pc0.5	chi2	222.6150757710594	4.568256723445538e-49	0.225982	"[{""ZN"":1,""Ncov"":2124,""Nmod"":137,""frac"":0.06450094161958568},{""ZN"":2,""Ncov"":784,""Nmod"":23,""frac"":0.029336734693877552},{""ZN"":3,""Ncov"":470,""Nmod"":120,""frac"":0.2553191489361702}]"	3.257674627897052e-46
ALCAM	19228	chr3	105576053	105576054	+	3	chi2_3x2_pc0.5	chi2	220.90254298708982	1.0755293620279337e-48	0.07837	"[{""ZN"":1,""Ncov"":5382,""Nmod"":26,""frac"":0.004830917874396135},{""ZN"":2,""Ncov"":890,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":319,""Nmod"":25,""frac"":0.07836990595611286}]"	7.462429670805706e-46
RIOK3	17802	chr18	23482736	23482737	+	4	chi2_4x2_pc0.5	chi2	217.00594330759208	8.910901959676528e-47	0.043771	"[{""ZN"":1,""Ncov"":5582,""Nmod"":6,""frac"":0.0010748835542816195},{""ZN"":3,""Ncov"":1660,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":502,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":297,""Nmod"":13,""frac"":0.04377104377104377}]"	6.020017766021469e-44
ALCAM	a	chr3	105524397	105524398	+	4	chi2_4x2_pc0.5	chi2	213.33846556971758	5.5288784302993556e-46	0.087683	"[{""ZN"":1,""Ncov"":3682,""Nmod"":29,""frac"":0.007876154263986964},{""ZN"":2,""Ncov"":725,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":479,""Nmod"":42,""frac"":0.08768267223382047},{""ZN"":4,""Ncov"":280,""Nmod"":0,""frac"":0.0}]"	3.6394196682729504e-43
RIOK3	19229	chr18	23482511	23482512	+	4	chi2_4x2_pc0.5	chi2	213.25700995329484	5.757616632081091e-46	0.066246	"[{""ZN"":1,""Ncov"":5933,""Nmod"":21,""frac"":0.0035395246923984494},{""ZN"":3,""Ncov"":1789,""Nmod"":7,""frac"":0.003912800447177194},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":317,""Nmod"":21,""frac"":0.06624605678233439}]"	3.695238354469644e-43
RIOK3	m	chr18	23474951	23474952	+	6	chi2_6x2_pc0.5	chi2	218.4401958812308	3.2068785024112545e-45	0.112791	"[{""ZN"":1,""Ncov"":4865,""Nmod"":271,""frac"":0.05570400822199383},{""ZN"":2,""Ncov"":2266,""Nmod"":150,""frac"":0.06619593998234775},{""ZN"":3,""Ncov"":1661,""Nmod"":224,""frac"":0.13485851896447923},{""ZN"":4,""Ncov"":1003,""Nmod"":169,""frac"":0.16849451645064806},{""ZN"":5,""Ncov"":504,""Nmod"":64,""frac"":0.12698412698412698},{""ZN"":6,""Ncov"":309,""Nmod"":31,""frac"":0.10032362459546926}]"	2.007975241802481e-42
RIOK3	19229	chr18	23481342	23481343	+	6	chi2_6x2_pc0.5	chi2	216.13567589320826	9.992100978514297e-45	0.021944	"[{""ZN"":1,""Ncov"":5911,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":3118,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1792,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1096,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":544,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":319,""Nmod"":7,""frac"":0.0219435736677116}]"	6.107552769533787e-42
RIOK3	19227	chr18	23481234	23481235	+	6	chi2_6x2_pc0.5	chi2	215.8043371472458	1.176564894175304e-44	0.024561	"[{""ZN"":1,""Ncov"":5247,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":2803,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1629,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":963,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":476,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":285,""Nmod"":7,""frac"":0.02456140350877193}]"	7.024366037969396e-42
RIOK3	17596	chr18	23473480	23473481	+	6	chi2_6x2_pc0.5	chi2	214.9679424781425	1.7771756605370764e-44	0.034318	"[{""ZN"":1,""Ncov"":4723,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":2238,""Nmod"":5,""frac"":0.002234137622877569},{""ZN"":3,""Ncov"":1718,""Nmod"":56,""frac"":0.03259604190919674},{""ZN"":4,""Ncov"":1049,""Nmod"":36,""frac"":0.034318398474737846},{""ZN"":5,""Ncov"":520,""Nmod"":12,""frac"":0.023076923076923078},{""ZN"":6,""Ncov"":317,""Nmod"":0,""frac"":0.0}]"	1.0369012172115415e-41
MXD1	a	chr2	69940436	69940437	+	3	chi2_3x2_pc0.5	chi2	196.87344967220656	1.776125244509511e-43	0.38328	"[{""ZN"":1,""Ncov"":1999,""Nmod"":1345,""frac"":0.6728364182091046},{""ZN"":2,""Ncov"":776,""Nmod"":372,""frac"":0.4793814432989691},{""ZN"":3,""Ncov"":466,""Nmod"":402,""frac"":0.8626609442060086}]"	1.013259717267737e-40
RIOK3	69426	chr18	23481448	23481449	+	6	chi2_6x2_pc0.5	chi2	207.87197209496307	5.8740819863541395e-43	0.100727	"[{""ZN"":1,""Ncov"":5028,""Nmod"":134,""frac"":0.026650755767700877},{""ZN"":2,""Ncov"":2449,""Nmod"":97,""frac"":0.03960800326663944},{""ZN"":3,""Ncov"":1555,""Nmod"":34,""frac"":0.021864951768488745},{""ZN"":4,""Ncov"":879,""Nmod"":105,""frac"":0.11945392491467577},{""ZN"":5,""Ncov"":434,""Nmod"":34,""frac"":0.07834101382488479},{""ZN"":6,""Ncov"":267,""Nmod"":5,""frac"":0.018726591760299626}]"	3.2782485381235538e-40
RIOK3	19228	chr18	23481474	23481475	+	6	chi2_6x2_pc0.5	chi2	206.96387781421788	9.189787370256357e-43	0.043831	"[{""ZN"":1,""Ncov"":5732,""Nmod"":20,""frac"":0.0034891835310537334},{""ZN"":2,""Ncov"":2715,""Nmod"":119,""frac"":0.04383057090239411},{""ZN"":3,""Ncov"":1746,""Nmod"":18,""frac"":0.010309278350515464},{""ZN"":4,""Ncov"":967,""Nmod"":25,""frac"":0.025853154084798345},{""ZN"":5,""Ncov"":526,""Nmod"":6,""frac"":0.011406844106463879},{""ZN"":6,""Ncov"":312,""Nmod"":0,""frac"":0.0}]"	5.019579178068536e-40
ALCAM	69426	chr3	105575102	105575103	+	3	chi2_3x2_pc0.5	chi2	190.1901423184282	5.0203655337251604e-42	0.031746	"[{""ZN"":1,""Ncov"":5389,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":882,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":378,""Nmod"":12,""frac"":0.031746031746031744}]"	2.6850588329540065e-39
ALCAM	69426	chr3	105532055	105532056	+	3	chi2_3x2_pc0.5	chi2	189.67991033344796	6.479340555285034e-42	0.047809	"[{""ZN"":1,""Ncov"":3481,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":673,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":251,""Nmod"":12,""frac"":0.04780876494023904}]"	3.394645525209743e-39
RIOK3	a	chr18	23481352	23481353	+	6	chi2_6x2_pc0.5	chi2	201.8823113445067	1.1238719833900681e-41	0.168956	"[{""ZN"":1,""Ncov"":5790,""Nmod"":1857,""frac"":0.3207253886010363},{""ZN"":2,""Ncov"":2975,""Nmod"":1070,""frac"":0.3596638655462185},{""ZN"":3,""Ncov"":1741,""Nmod"":798,""frac"":0.45835726593911547},{""ZN"":4,""Ncov"":1073,""Nmod"":508,""frac"":0.47343895619757687},{""ZN"":5,""Ncov"":533,""Nmod"":261,""frac"":0.4896810506566604},{""ZN"":6,""Ncov"":315,""Nmod"":115,""frac"":0.36507936507936506}]"	5.7704083115179655e-39
RIOK3	17596	chr18	23482683	23482684	+	4	chi2_4x2_pc0.5	chi2	191.06435824211135	3.594902456279954e-41	0.027132	"[{""ZN"":1,""Ncov"":5600,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1681,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":516,""Nmod"":14,""frac"":0.027131782945736434},{""ZN"":6,""Ncov"":311,""Nmod"":0,""frac"":0.0}]"	1.8095752128944898e-38
RIOK3	17596	chr18	23482331	23482332	+	4	chi2_4x2_pc0.5	chi2	185.62164732981907	5.3869984488222405e-40	0.025237	"[{""ZN"":1,""Ncov"":5933,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1789,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":533,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":317,""Nmod"":8,""frac"":0.025236593059936908}]"	2.6570848272763684e-37
RIOK3	19229	chr18	23475056	23475057	+	6	chi2_6x2_pc0.5	chi2	193.98799704563652	5.485567772111543e-40	0.021944	"[{""ZN"":1,""Ncov"":5215,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":2560,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1791,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1104,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":319,""Nmod"":7,""frac"":0.0219435736677116}]"	2.6570848272763684e-37
MXD1	a	chr2	69938147	69938148	+	3	chi2_3x2_pc0.5	chi2	178.0111950268456	2.2149306933973682e-39	0.378883	"[{""ZN"":1,""Ncov"":2100,""Nmod"":1234,""frac"":0.5876190476190476},{""ZN"":2,""Ncov"":799,""Nmod"":351,""frac"":0.43929912390488113},{""ZN"":3,""Ncov"":484,""Nmod"":396,""frac"":0.8181818181818182}]"	1.052994458535134e-36
RIOK3	m	chr18	23481442	23481443	+	6	chi2_6x2_pc0.5	chi2	190.47571512673866	3.09117957801328e-39	0.039351	"[{""ZN"":1,""Ncov"":5869,""Nmod"":37,""frac"":0.006304310785483046},{""ZN"":2,""Ncov"":2897,""Nmod"":114,""frac"":0.03935105281325509},{""ZN"":3,""Ncov"":1764,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1029,""Nmod"":32,""frac"":0.031098153547133137},{""ZN"":5,""Ncov"":536,""Nmod"":6,""frac"":0.011194029850746268},{""ZN"":6,""Ncov"":316,""Nmod"":0,""frac"":0.0}]"	1.4428502204864896e-36
