#chrom	tes_1based	strand	intron_chain_tx_order	n_introns	read_support	frac_global	polya_support_frac	median_mapq	median_tail_len	median_tail_purity	n_unique_chains	n_full_length_reads	included_trunc	sample_counts	chain_counts	kept
chr18	23481478	+	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	6	0.0014	0.8333	60.0	53.0	0.751	2	4	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:4|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:4|23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171	11	6	0.0014	1.0000	60.0	119.5	0.700	2	4	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:5	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477269-23479316;23479425-23481171:4|23475108-23477005;23477269-23479316;23479425-23481171:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175	12	7	0.0016	0.8571	60.0	34.0	0.744	4	3	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:2|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:3|23477087-23477178;23477269-23479316;23479425-23481175:1|23477269-23479316;23479425-23481175:1|23479425-23481175:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171	12	5	0.0012	1.0000	60.0	66.0	0.746	3	3	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:4	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:3|23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:1|23477087-23477156;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	10	3	0.0007	1.0000	60.0	63.0	0.730	1	3	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171	12	2	0.0005	1.0000	60.0	35.5	0.891	1	2	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:2	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479425-23481171:2	0
chr18	23481478	+	23453503-23462963;23463080-23463942;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	2	0.0005	1.0000	60.0	46.0	0.806	1	2	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2	23453503-23462963;23463080-23463942;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23481171	11	2	0.0005	1.0000	60.0	40.0	0.864	1	2	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23481171:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175	11	2	0.0005	1.0000	60.0	63.0	0.768	1	2	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175	11	2	0.0005	1.0000	60.0	83.5	0.732	1	2	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:2	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477269-23479316;23479425-23481171	11	3	0.0007	1.0000	60.0	98.0	0.714	2	2	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:3	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477269-23479316;23479425-23481171:2|23473627-23474947;23475108-23477005;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23479597;23479720-23481171	13	1	0.0002	1.0000	60.0	65.0	0.738	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23479597;23479720-23481171:1	0
chr18	23481478	+	23453503-23462162;23462298-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	1	0.0002	1.0000	60.0	25.0	1.000	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462162;23462298-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23472897;23473333-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	13	1	0.0002	1.0000	60.0	29.0	0.552	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23472897;23473333-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464225;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481236-23481314	13	1	0.0002	1.0000	60.0	23.0	1.000	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464225;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171;23481236-23481314:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23479621;23479720-23481171	13	1	0.0002	1.0000	60.0	68.0	0.706	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23479621;23479720-23481171:1	0
chr18	23481478	+	23453503-23462974;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	0.0000	60.0	21.0	0.381	1	1	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1	23453503-23462974;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479402-23481186	12	1	0.0002	1.0000	60.0	67.0	0.716	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477156;23477269-23479316;23479402-23481186:1	0
chr18	23481478	+	23453503-23462963;23463080-23463977;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	56.0	0.804	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463080-23463977;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477055-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	21.0	1.000	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477055-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467555-23473428;23473627-23474947;23475108-23477005;23477055-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	142.0	0.711	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467555-23473428;23473627-23474947;23475108-23477005;23477055-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477198;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	60.0	0.833	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477198;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175	12	2	0.0005	1.0000	60.0	34.5	0.766	2	1	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:2	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:1|23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481175:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477055-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	60.0	0.683	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477055-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467545-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	55.0	0.564	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467545-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463075-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	82.0	0.732	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463075-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466109;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	30.0	1.000	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466109;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479429-23481171	12	1	0.0002	1.0000	60.0	45.0	0.800	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479429-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467566-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	1	0.0002	1.0000	60.0	72.0	0.750	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467566-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
